iteration,rmse,bias,rho.null,c.ov,k.exp,tau,eta.null
1,42.08969673408437,22.147496096921298,100.0,0.0005000005,0.10499999999999998,0.03,5000000.0
2,42.090032287350276,22.147692660351662,100.00001,0.0005000005,0.10499999999999998,0.03,5000000.0
3,42.07959866048405,22.141484128587944,100.0,0.00050000051,0.10499999999999998,0.03,5000000.0
4,42.08969673408437,22.147496096921298,100.0,0.0005000005,0.10500000099999998,0.03,5000000.0
5,42.08333238383785,22.14693716403759,100.0,0.0005000005,0.10499999999999998,0.030000001,5000000.0
6,42.08953329628206,22.1452921401361,100.0,0.0005000005,0.10499999999999998,0.03,5000000.100000001
7,42.166419533076585,-24.435070267985175,70.0,0.001,0.10499999999999998,0.06,20000000.0
8,42.16642053643811,-24.435076897283565,70.00001,0.001,0.10499999999999998,0.06,20000000.0
9,42.167441190249505,-24.41510896115214,70.0,0.00099999999,0.10499999999999998,0.06,20000000.0
10,42.166419533076585,-24.435070267985175,70.0,0.001,0.10500000099999998,0.06,20000000.0
11,42.16615129926694,-24.417625171632526,70.0,0.001,0.10499999999999998,0.059999999,20000000.0
12,42.16160016802436,-24.4332611972186,70.0,0.001,0.10499999999999998,0.06,19999999.900000002
13,32.729693940830884,-2.2952599099975384,85.22181636240762,0.0007463033143234792,0.10499999999999998,0.04477818363759239,12389091.818796193
14,32.729693922637,-2.2952497788209523,85.22182636240761,0.0007463033143234792,0.10499999999999998,0.04477818363759239,12389091.818796193
15,32.729693961984395,-2.2952597196769613,85.22181636240762,0.0007463033243234792,0.10499999999999998,0.04477818363759239,12389091.818796193
16,32.729693940830884,-2.2952599099975384,85.22181636240762,0.0007463033143234792,0.10500000099999998,0.04477818363759239,12389091.818796193
17,32.729693940830884,-2.2952599099975384,85.22181636240762,0.0007463033143234792,0.10499999999999998,0.04477818463759239,12389091.818796193
18,32.72969393386771,-2.295259994848649,85.22181636240762,0.0007463033143234792,0.10499999999999998,0.04477818363759239,12389091.918796193
19,36.31012994073193,12.780797937329403,95.08106284010418,0.0005819827040159778,0.10499999999999998,0.03491893715989582,7459468.579947914
20,36.3101342890646,12.780805995846274,95.08107284010417,0.0005819827040159778,0.10499999999999998,0.03491893715989582,7459468.579947914
21,36.310130085700074,12.780798128957665,95.08106284010418,0.0005819827140159778,0.10499999999999998,0.03491893715989582,7459468.579947914
22,36.31012994073193,12.780797937329403,95.08106284010418,0.0005819827040159778,0.10500000099999998,0.03491893715989582,7459468.579947914
23,36.31012994073193,12.780797937329403,95.08106284010418,0.0005819827040159778,0.10499999999999998,0.03491893815989582,7459468.579947914
24,36.31012983626457,12.780797782115545,95.08106284010418,0.0005819827040159778,0.10499999999999998,0.03491893715989582,7459468.679947915
